City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
623,Bandarbeyla,SO,73.98,broken clouds,9.4942,50.8122,JABIR HOTEL
629,Tubmanburg,LR,71.42,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
637,Muros,ES,69.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
640,Teguise,ES,71.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
643,Tuensang,IN,70.99,overcast clouds,26.2833,94.8333,B.W.D Resthouse.
648,Antalaha,MG,67.3,light rain,-14.9003,50.2788,Hotel Vitasoa
649,Huarmey,PE,66.94,clear sky,-10.0681,-78.1522,Hotel Miramar
650,Jinchang,CN,66.97,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
651,Miranda De Ebro,ES,66.65,clear sky,42.6865,-2.947,Hospedería El Convento
657,Shiyan,CN,69.98,scattered clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
660,Skegness,GB,68.02,overcast clouds,53.1436,0.3363,The Royal Hotel
661,Luoyang,CN,72.14,clear sky,34.6836,112.4536,易家国际青年旅舍
664,Bonthe,SL,74.48,light rain,7.5264,-12.505,Bonthe Holiday Village
671,Baiyin,CN,68.16,scattered clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
677,Dharchula,IN,73.29,light rain,29.85,80.5333,Mahara Hotel
682,Inuvik,CA,65.26,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
687,Itacare,BR,73.11,broken clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
689,San Vicente,AR,66.74,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
697,Khotyn,UA,66.97,scattered clouds,48.4833,26.5,"Khotyn, Hotelʹ"
698,Urumqi,CN,68.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
699,Zwedru,LR,71.49,overcast clouds,6.0667,-8.1281,Elijah Worjloh
705,Cordoba,AR,74.25,clear sky,-31.4135,-64.1811,Hotel Sussex
