City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
121,Bani,DO,2022-07-18 21:53:25,18.2833,-70.3333,81.86,63,6,13.69
122,Nanzhou,CN,2022-07-18 21:56:07,29.3596,112.4024,77.59,93,100,4.07
123,Ngunguru,NZ,2022-07-18 21:56:07,-35.6167,174.5,60.64,81,89,16.4
124,Abonnema,NG,2022-07-18 21:56:08,4.7084,6.7931,75.06,79,97,5.19
125,Dikson,RU,2022-07-18 21:56:08,73.5069,80.5464,43.18,82,99,12.64
126,Buchanan,LR,2022-07-18 21:56:09,5.8808,-10.0467,75.56,79,97,12.57
127,Asfi,MA,2022-07-18 21:56:09,32.2994,-9.2372,70.5,83,1,17.69
128,San Jose,US,2022-07-18 21:53:48,37.3394,-121.895,99.84,38,0,11.5
129,Nanortalik,GL,2022-07-18 21:56:10,60.1432,-45.2371,46.24,82,86,3.06
130,Balkanabat,TM,2022-07-18 21:56:10,39.5108,54.3671,96.62,11,0,11.65
131,Hilo,US,2022-07-18 21:56:11,19.7297,-155.09,90.28,80,56,3.0
132,Bambous Virieux,MU,2022-07-18 21:56:11,-20.3428,57.7575,67.21,88,40,17.27
133,Wenchi,GH,2022-07-18 21:56:12,7.7392,-2.1046,70.23,90,57,6.15
134,Sakaiminato,JP,2022-07-18 21:56:12,35.55,133.2333,78.73,94,75,8.05
135,Namatanai,PG,2022-07-18 21:56:13,-3.6667,152.4333,81.88,73,96,8.3
136,Kropotkin,RU,2022-07-18 21:56:14,45.4375,40.5756,69.84,32,33,7.45
137,Parrita,CR,2022-07-18 21:56:14,9.5201,-84.3225,79.93,85,95,1.14
138,Hithadhoo,MV,2022-07-18 21:57:15,-0.6,73.0833,81.37,76,100,11.12
139,Hofn,IS,2022-07-18 21:57:15,64.2539,-15.2082,50.88,83,77,9.26
140,Ulu-Telyak,RU,2022-07-18 21:57:16,54.9086,56.9669,63.75,78,77,5.32
141,Cherskiy,RU,2022-07-18 21:57:16,68.75,161.3,58.77,47,58,9.8
142,Praia Da Vitoria,PT,2022-07-18 21:57:17,38.7333,-27.0667,73.76,88,75,8.43
143,Victoria,HK,2022-07-18 21:57:17,22.2855,114.1577,87.85,84,100,8.99
144,Port Hedland,AU,2022-07-18 21:57:18,-20.3167,118.5667,55.45,88,3,6.91
145,Galveston,US,2022-07-18 21:57:18,29.3669,-94.9669,98.19,65,2,5.01
146,Asyut,EG,2022-07-18 21:57:19,27.181,31.1837,86.18,20,24,7.7
147,Sioux Lookout,CA,2022-07-18 21:57:19,50.1001,-91.917,84.27,51,75,6.91
148,Sault Sainte Marie,CA,2022-07-18 21:54:51,46.5168,-84.3333,88.09,40,0,13.8
149,Isangel,VU,2022-07-18 21:57:20,-19.55,169.2667,78.91,83,75,0.0
150,Domoni,KM,2022-07-18 21:57:21,-12.2569,44.5319,73.29,77,29,5.61
151,Maniitsoq,GL,2022-07-18 21:57:21,65.4167,-52.9,44.17,91,100,3.8
152,Mayo,US,2022-07-18 21:57:22,38.8876,-76.5119,91.51,75,97,4.0
153,Grand-Lahou,CI,2022-07-18 21:57:23,5.1367,-5.0242,74.73,78,48,8.88
154,Chuy,UY,2022-07-18 21:57:23,-33.6971,-53.4616,48.24,82,2,2.37
155,San Andres,CO,2022-07-18 21:57:24,12.5847,-81.7006,86.02,79,100,14.97
156,Manzil Kamil,TN,2022-07-18 21:57:24,35.6248,10.6673,80.04,74,0,6.91
157,East London,ZA,2022-07-18 21:57:25,-33.0153,27.9116,68.97,35,8,8.97
158,Kaoma,ZM,2022-07-18 21:57:25,-14.7833,24.8,50.38,70,34,6.58
159,Palu,ID,2022-07-18 21:57:26,-0.8917,119.8707,74.71,90,98,3.27
160,Verkhoyansk,RU,2022-07-18 21:57:26,67.5447,133.385,58.78,86,80,6.87
161,Nantucket,US,2022-07-18 21:57:27,41.2835,-70.0995,75.99,97,100,11.5
162,Sao Jose De Piranhas,BR,2022-07-18 21:57:27,-7.1206,-38.5019,75.2,43,6,4.99
163,Comodoro Rivadavia,AR,2022-07-18 21:57:08,-45.8667,-67.5,48.06,46,0,23.02
164,Alekseyevsk,RU,2022-07-18 21:57:28,57.8406,108.3492,59.4,78,55,3.11
165,Lavrentiya,RU,2022-07-18 21:57:28,65.5833,-171.0,36.3,90,99,13.96
166,Sitka,US,2022-07-18 21:57:29,57.0531,-135.33,56.35,83,100,4.27
167,Tayu,ID,2022-07-18 21:57:29,-6.5397,111.0518,74.97,87,99,7.81
168,San Patricio,US,2022-07-18 21:56:20,28.017,-97.5169,98.19,47,57,16.64
169,Thompson,CA,2022-07-18 21:57:30,55.7435,-97.8558,73.56,56,40,4.61
170,Faya,SA,2022-07-18 21:57:30,18.3851,42.4509,69.91,38,51,3.94
171,Uzhur,RU,2022-07-18 21:57:31,55.3036,89.8339,54.05,91,99,13.11
172,Celestun,MX,2022-07-18 21:57:31,20.8667,-90.4,86.07,69,44,13.82
173,Aklavik,CA,2022-07-18 21:57:32,68.2191,-135.0107,67.8,58,100,13.04
174,Kodinsk,RU,2022-07-18 21:57:32,58.6881,99.1844,51.03,97,38,4.47
175,Salalah,OM,2022-07-18 21:57:33,17.0151,54.0924,77.11,94,100,3.83
176,Sao Felix Do Xingu,BR,2022-07-18 21:57:33,-6.6447,-51.995,79.48,45,25,0.96
177,Merauke,ID,2022-07-18 21:57:34,-8.4667,140.3333,76.5,87,85,11.68
178,Tveit,NO,2022-07-18 21:57:35,58.2337,8.122,67.77,56,69,4.61
179,Beian,NO,2022-07-18 21:57:35,63.6559,9.5683,53.69,82,75,11.5
180,Icod De Los Vinos,ES,2022-07-18 21:58:35,28.3724,-16.7119,75.67,87,11,13.15
181,Mogadishu,SO,2022-07-18 21:58:36,2.0371,45.3438,75.49,82,85,20.0
182,Saint-Pierre,RE,2022-07-18 21:57:01,-21.3393,55.4781,69.48,65,0,26.46
183,Berlevag,NO,2022-07-18 21:58:37,70.8578,29.0864,59.0,72,20,4.61
184,Ojinaga,MX,2022-07-18 21:58:20,29.5667,-104.4167,107.56,21,0,8.05
185,Trinidad,BO,2022-07-18 21:58:37,-14.8333,-64.9,84.18,58,46,0.0
186,Karratha,AU,2022-07-18 21:58:38,-20.7377,116.8463,66.78,68,2,6.13
187,Sarangani,PH,2022-07-18 21:58:38,5.4033,125.4636,81.21,75,100,7.83
188,Petropavlovsk-Kamchatskiy,RU,2022-07-18 21:58:39,53.0452,158.6483,54.19,100,100,4.47
189,Kokemaki,FI,2022-07-18 21:58:39,61.2565,22.3564,53.38,89,94,1.39
190,Baruun-Urt,MN,2022-07-18 21:58:40,46.6806,113.2792,63.61,47,0,3.53
191,Cidreira,BR,2022-07-18 21:55:31,-30.1811,-50.2056,57.27,92,0,4.38
192,Santa Vitoria Do Palmar,BR,2022-07-18 21:58:40,-33.5189,-53.3681,48.15,81,12,1.74
193,Marovoay,MG,2022-07-18 21:58:41,-16.1,46.6333,65.03,70,2,7.11
194,Vallenar,CL,2022-07-18 21:58:41,-28.5708,-70.7581,67.5,30,0,2.73
